Country,Average Health Care Spending (%GDP)
Afghanistan,12.4
Albania,4.0
Algeria,6.4
Andorra,6.6
Angola,3.0
Antigua and Barbuda,4.8
Argentina,9.8
Armenia,10.2
Australia,9.2
Austria,10.0
Azerbaijan,4.0
Bahamas,6.0
Bahrain,4.6
Bangladesh,2.4
Barbados,6.8
Belarus,6.0
Belgium,10.8
Belize,6.0
Benin,2.8
Bhutan,3.6
Bolivia Plurinational States of,6.8
Bosnia and Herzegovina,9.0
Botswana,6.0
Brazil,9.2
Brunei Darussalam,2.2
Bulgaria,7.2
Burkina Faso,5.4
Burundi,7.6
Cabo Verde Republic of,5.0
Cambodia,6.2
Cameroon,3.6
Canada,11.0
Central African Republic,7.2
Chad,4.6
Chile,8.8
China,5.0
Colombia,8.0
Comoros,5.0
Congo,2.4
Cook Islands,3.0
Costa Rica,7.2
Croatia,7.0
Cuba,11.6
Cyprus,7.0
Czech Republic,7.4
Côte d'Ivoire,3.0
Democratic Republic of the Congo,3.8
Denmark,10.0
Djibouti,2.4
Dominica,5.2
Dominican Republic,6.0
Ecuador,7.4
Egypt,5.2
El Salvador,7.8
Equatorial Guinea,3.0
Eritrea,4.0
Estonia,6.6
Eswatini,7.0
Ethiopia,3.4
Fiji,3.2
Finland,9.2
France,11.0
Gabon,3.0
Gambia,4.0
Georgia,7.2
Germany,11.2
Ghana,3.4
Greece,8.0
Grenada,4.8
Guatemala,6.0
Guinea,4.6
Guinea-Bissau,7.8
Guyana,4.4
Haiti,5.0
Honduras,7.2
Hungary,6.8
Iceland,8.2
India,3.4
Indonesia,3.0
Iran,8.0
Iraq,3.6
Ireland,7.0
Israel,7.2
Italy,9.0
Jamaica,6.0
Japan,11.0
Jordan,7.6
Kazakhstan,3.0
Kenya,4.6
Kiribati,10.0
Kuwait,4.8
Kyrgyzstan,5.6
Lao People's Democratic Republic,2.4
Latvia,6.2
Lebanon,8.2
Lesotho,10.0
Liberia,9.4
Lithuania,6.6
Luxembourg,5.0
Madagascar,4.6
Malawi,9.6
Malaysia,4.0
Maldives,8.8
Mali,4.0
Malta,8.8
Marshall Islands,16.6
Mauritania,3.4
Mauritius,6.0
Mexico,5.4
Micronesia (Federated States of),12.0
Monaco,2.0
Mongolia,4.0
Montenegro,8.4
Morocco,5.0
Mozambique,7.6
Myanmar,5.0
Namibia,8.8
Nauru,11.2
Nepal,4.8
Netherlands,10.0
New Zealand,9.2
Nicaragua,8.2
Niger,5.4
Nigeria,3.6
Niue,7.8
Norway,10.4
Oman,4.0
Pakistan,3.0
Palau,12.2
Panama,7.2
Papua New Guinea,2.0
Paraguay,7.0
Peru,5.0
Philippines,4.0
Poland,6.4
Portugal,9.2
Qatar,3.0
Republic of Korea,7.4
Republic of Moldova,7.4
Romania,5.4
Russian Federation,5.2
Rwanda,6.6
Saint Kitts and Nevis,5.4
Saint Lucia,4.6
Saint Vincent and the Grenadines,4.4
Samoa,5.6
San Marino,6.8
Sao Tome and Principe,5.8
Saudi Arabia,6.0
Senegal,4.0
Serbia,8.6
Seychelles,5.0
Sierra Leone,12.6
Singapore,4.0
Slovakia,7.0
Slovenia,8.2
Solomon Islands,4.6
South Africa,9.0
South Sudan,4.0
Spain,9.0
Sri Lanka,4.0
Sudan,5.4
Suriname,7.2
Sweden,11.0
Switzerland,11.0
Tajikistan,7.0
Thailand,4.0
The Republic of North Macedonia,6.6
Timor-Leste,7.4
Togo,5.6
Tonga,5.0
Trinidad and Tobago,6.8
Tunisia,7.0
Turkmenistan,6.8
Tuvalu,18.6
Türkiye,4.0
Uganda,4.4
Ukraine,7.6
United Arab Emirates,3.8
United Kingdom,10.0
United Republic of Tanzania,4.0
United States of America,17.0
Uruguay,8.8
Uzbekistan,5.2
Vanuatu,3.2
Venezuela (Bolivarian Republic of),4.6
Viet Nam,5.0
Yemen,0.8
Zambia,4.4
Zimbabwe,7.8
